date,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car,Station Name,Latitude,Longitude,Elevation,formatted_date,image_path,color_mean_R,color_mean_G,color_mean_B,color_median_R,color_median_G,color_median_B,color_std_R,color_std_G,color_std_B,ndvi,contrast,correlation,energy,homogeneity,class
2022-12-09,21.2,28.6,24.9,78.0,1.0,10.1,3.0,30.0,1.0,W ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0,2022-12-09,/Users/rau/Desktop/Asa/NDVI_Stasiun Geofisika Nganjuk (3)/2022-12-09.png,121.75472259521484,203.12193298339844,79.36119079589844,131.0,211.0,75.0,57.73371124267578,20.86356544494629,35.052452087402344,0.30072590708732605,5654.635710528744,0.4949180217232768,0.484384652586088,9.692175232127754,8
2022-10-30,19.6,27.7,24.6,79.0,0.0,3.1,2.0,350.0,1.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0,2022-10-30,/Users/rau/Desktop/Asa/NDVI_Stasiun Geofisika Nganjuk (3)/2022-10-30.png,132.32650756835938,207.74310302734375,72.91645050048828,149.0,215.0,63.0,48.12751007080078,17.502588272094727,29.479705810546875,0.25546613335609436,5899.820651794332,0.4656147573457782,0.4843943473455921,9.31101181614346,8
2022-09-15,20.6,30.2,26.1,68.0,0.0,9.2,2.0,80.0,1.0,E ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0,2022-09-15,/Users/rau/Desktop/Asa/NDVI_Stasiun Geofisika Nganjuk (3)/2022-09-15.png,136.18978881835938,210.1995849609375,70.61260223388672,149.0,215.0,63.0,40.874267578125,13.19802188873291,24.9237060546875,0.23623281717300415,5728.053334766398,0.4556242900248847,0.480412416239799,9.091910964185663,7
2022-08-21,20.0,29.0,24.0,78.0,0.0,6.0,2.0,90.0,1.0,E ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0,2022-08-21,/Users/rau/Desktop/Asa/NDVI_Stasiun Geofisika Nganjuk (3)/2022-08-21.png,139.90318298339844,210.30186462402344,68.16139221191406,154.0,216.0,60.0,47.639060974121094,15.029382705688477,29.064403533935547,0.23059242963790894,6058.340627473227,0.4772753623733475,0.4808486368619036,9.362482289779937,0
2022-08-16,20.4,28.4,24.2,84.0,8.0,5.9,2.0,360.0,1.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0,2022-08-16,/Users/rau/Desktop/Asa/NDVI_Stasiun Geofisika Nganjuk (3)/2022-08-16.png,93.6220932006836,179.40304565429688,107.29525756835938,33.0,167.0,132.0,96.75413513183594,33.099300384521484,43.57361602783203,0.45911088585853577,3800.283885220394,0.5881586060330046,0.6342437439823225,6.920853297702519,3
2022-08-06,19.2,29.0,24.0,71.0,0.0,10.5,2.0,10.0,1.0,NE,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0,2022-08-06,/Users/rau/Desktop/Asa/NDVI_Stasiun Geofisika Nganjuk (3)/2022-08-06.png,142.6039581298828,211.73861694335938,66.55657958984375,154.0,216.0,60.0,41.996490478515625,12.631698608398438,25.73695945739746,0.21721869707107544,5965.860840958891,0.4675964052780429,0.4853259620808688,9.015653594443986,7
2022-08-01,19.2,29.5,23.0,64.0,0.0,7.4,2.0,180.0,1.0,NE,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0,2022-08-01,/Users/rau/Desktop/Asa/NDVI_Stasiun Geofisika Nganjuk (3)/2022-08-01.png,158.63885498046875,215.1337432861328,56.620216369628906,173.0,220.0,48.0,43.268592834472656,12.032498359680176,26.55948257446289,0.17186202108860016,6580.442126190021,0.4989098067951476,0.48813737107777067,8.950412514519222,0
2022-07-27,19.8,29.0,24.3,76.0,0.0,10.3,3.0,10.0,1.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0,2022-07-27,/Users/rau/Desktop/Asa/NDVI_Stasiun Geofisika Nganjuk (3)/2022-07-27.png,157.8456573486328,214.9442596435547,57.031349182128906,173.0,220.0,48.0,43.07516098022461,12.307914733886719,26.47759437561035,0.17418910562992096,6437.146951611664,0.5001011284459566,0.4916426391228015,8.821208958922792,0
2022-07-12,19.8,29.0,25.2,77.0,0.0,6.7,2.0,60.0,1.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0,2022-07-12,/Users/rau/Desktop/Asa/NDVI_Stasiun Geofisika Nganjuk (3)/2022-07-12.png,90.88837432861328,183.04661560058594,106.34925079345703,44.0,177.0,125.0,85.24821472167969,30.168903350830078,38.75545883178711,0.4492139518260956,3889.6882632888114,0.560884042002187,0.5943485507056154,7.963679172057565,6
2022-07-07,17.0,28.4,23.3,82.0,0.0,5.2,3.0,350.0,1.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0,2022-07-07,/Users/rau/Desktop/Asa/NDVI_Stasiun Geofisika Nganjuk (3)/2022-07-07.png,63.028419494628906,176.01602172851562,116.62284851074219,36.0,170.0,130.0,46.36734390258789,24.51527214050293,27.080398559570312,0.5262736082077026,4886.185349976336,0.5026928413661482,0.5343004695553922,8.975930988818705,1
2022-06-27,21.0,28.2,23.9,86.0,0.0,6.7,3.0,10.0,1.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0,2022-06-27,/Users/rau/Desktop/Asa/NDVI_Stasiun Geofisika Nganjuk (3)/2022-06-27.png,162.12547302246094,216.2205047607422,54.34703826904297,178.0,221.0,44.0,38.99943161010742,10.701987266540527,24.053457260131836,0.15955378115177155,6408.35905027122,0.513043281475432,0.50421028924102,8.39129027431202,0
2022-06-22,17.8,28.6,23.9,74.0,0.0,8.5,2.0,80.0,1.0,E ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0,2022-06-22,/Users/rau/Desktop/Asa/NDVI_Stasiun Geofisika Nganjuk (3)/2022-06-22.png,167.38165283203125,216.6041717529297,51.34675979614258,186.0,222.0,39.0,44.957489013671875,12.490309715270996,27.480411529541016,0.1496538668870926,6654.421482582921,0.5083029424914304,0.5012762939732729,8.629943472663115,0
2022-05-28,20.6,29.0,24.8,80.0,0.0,0.3,3.0,350.0,1.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0,2022-05-28,/Users/rau/Desktop/Asa/NDVI_Stasiun Geofisika Nganjuk (3)/2022-05-28.png,176.23033142089844,218.43435668945312,46.11894226074219,194.0,223.0,34.0,43.202850341796875,11.276893615722656,26.202226638793945,0.12552432715892792,7012.63340055332,0.49872860394410484,0.5066017231345205,8.316005561848321,0
2022-05-23,21.0,28.4,24.9,77.0,0.0,9.0,3.0,170.0,2.0,NE,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0,2022-05-23,/Users/rau/Desktop/Asa/NDVI_Stasiun Geofisika Nganjuk (3)/2022-05-23.png,127.55692291259766,191.9501953125,89.6446533203125,96.0,201.0,96.0,98.16271209716797,35.82598114013672,45.734619140625,0.3312457203865051,3336.749419420222,0.6070088913461849,0.6821049053272944,6.575618809495379,3
2022-05-18,21.6,29.4,24.6,82.0,0.0,7.0,2.0,90.0,1.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0,2022-05-18,/Users/rau/Desktop/Asa/NDVI_Stasiun Geofisika Nganjuk (3)/2022-05-18.png,152.14393615722656,214.1378173828125,60.58111572265625,167.0,219.0,51.0,38.961700439453125,11.486989974975586,23.93999671936035,0.18739505112171173,6357.941612580364,0.4627349300793265,0.5014824013328554,8.384889802213959,0
2022-05-13,21.6,28.8,25.2,85.0,3.0,3.9,2.0,20.0,1.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0,2022-05-13,/Users/rau/Desktop/Asa/NDVI_Stasiun Geofisika Nganjuk (3)/2022-05-13.png,78.42632293701172,176.60499572753906,112.52973175048828,33.0,167.0,132.0,78.73539733886719,29.92222023010254,36.977787017822266,0.49248987436294556,4540.290540308831,0.5062408565940564,0.555868764256213,8.279436923069346,6
2022-05-03,18.2,29.8,24.5,82.0,0.0,6.8,3.0,350.0,2.0,E ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0,2022-05-03,/Users/rau/Desktop/Asa/NDVI_Stasiun Geofisika Nganjuk (3)/2022-05-03.png,134.94725036621094,208.77584838867188,71.16575622558594,151.0,216.0,62.0,48.53956604003906,16.163822174072266,29.65306854248047,0.24730455875396729,5949.266595595449,0.4637713132973387,0.4955649341075317,9.068558377949378,7
2022-04-13,20.2,29.5,24.7,78.0,0.0,7.4,2.0,360.0,2.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0,2022-04-13,/Users/rau/Desktop/Asa/NDVI_Stasiun Geofisika Nganjuk (3)/2022-04-13.png,151.8990020751953,213.02455139160156,60.603355407714844,173.0,220.0,48.0,49.63862991333008,14.212074279785156,30.375455856323242,0.19641909003257751,6056.099803232628,0.5187097615566633,0.49747249765947715,8.917385088541009,0
2022-04-03,21.2,28.5,22.4,92.0,0.6,1.8,2.0,360.0,1.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0,2022-04-03,/Users/rau/Desktop/Asa/NDVI_Stasiun Geofisika Nganjuk (3)/2022-04-03.png,104.22335052490234,192.3414306640625,90.58619689941406,91.0,200.0,98.0,66.74845123291016,28.477933883666992,41.200218200683594,0.3755919337272644,5699.526591716389,0.49983105181729437,0.5099859526844741,9.324590215670758,8
2022-03-29,20.6,28.0,23.7,83.0,37.0,7.0,3.0,40.0,2.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0,2022-03-29,/Users/rau/Desktop/Asa/NDVI_Stasiun Geofisika Nganjuk (3)/2022-03-29.png,175.86712646484375,217.0013427734375,48.293704986572266,197.0,223.0,33.0,53.811546325683594,15.798293113708496,31.202009201049805,0.13454794883728027,6745.5403944288755,0.4691626070835386,0.4981489761922562,8.988543382000504,0
2022-03-04,21.4,27.9,24.0,88.0,1.0,5.7,2.0,270.0,1.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0,2022-03-04,/Users/rau/Desktop/Asa/NDVI_Stasiun Geofisika Nganjuk (3)/2022-03-04.png,141.88490295410156,208.91094970703125,66.84843444824219,165.0,218.0,53.0,58.968528747558594,19.032026290893555,35.8808479309082,0.23642398416996002,6157.883736368977,0.49950249185523815,0.48682623983457796,9.404669782174773,0
2022-02-27,20.4,28.2,23.7,85.0,29.0,2.9,4.0,280.0,2.0,W ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0,2022-02-27,/Users/rau/Desktop/Asa/NDVI_Stasiun Geofisika Nganjuk (3)/2022-02-27.png,168.97445678710938,216.96067810058594,50.372947692871094,186.0,222.0,39.0,44.48978042602539,12.232309341430664,27.169490814208984,0.14516088366508484,6785.528540133955,0.506701138100696,0.4981782021655621,8.629739251871507,0
2022-02-02,20.4,28.6,24.1,81.0,0.0,2.3,3.0,330.0,2.0,NW,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0,2022-02-02,/Users/rau/Desktop/Asa/NDVI_Stasiun Geofisika Nganjuk (3)/2022-02-02.png,167.3730010986328,216.80690002441406,51.23429489135742,183.0,221.0,41.0,43.16188430786133,11.84323501586914,26.460285186767578,0.14840449392795563,6647.706730344539,0.5125054727721396,0.5028134283334087,8.538880116835877,0
2021-12-09,21.2,27.4,23.7,89.0,6.0,3.9,2.0,240.0,1.0,W ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0,2021-12-09,/Users/rau/Desktop/Asa/NDVI_Stasiun Geofisika Nganjuk (3)/2021-12-09.png,58.764068603515625,168.87257385253906,122.51825714111328,32.0,161.0,135.0,63.09070587158203,25.149642944335938,29.27351951599121,0.5604617595672607,4180.572032245126,0.541846359146729,0.5684650742676756,7.994834133877165,6
2021-11-09,21.4,28.8,23.2,90.0,2.0,0.8,2.0,360.0,1.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0,2021-11-09,/Users/rau/Desktop/Asa/NDVI_Stasiun Geofisika Nganjuk (3)/2021-11-09.png,182.64393615722656,207.48593139648438,67.73316192626953,253.0,231.0,36.0,102.72972106933594,34.807518005371094,46.39433670043945,0.17865513265132904,1749.168410732599,0.6518650540014869,0.842483540878411,3.4043317650493394,5
2021-10-10,20.2,32.6,27.1,61.0,0.0,9.8,2.0,360.0,1.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0,2021-10-10,/Users/rau/Desktop/Asa/NDVI_Stasiun Geofisika Nganjuk (3)/2021-10-10.png,118.2010498046875,205.48886108398438,81.70916748046875,124.0,210.0,79.0,41.05434036254883,13.58701229095459,24.838115692138672,0.2947356402873993,5351.8862328014275,0.45188698554042667,0.47203062721213007,9.53844311731746,9
2021-10-05,20.0,27.9,25.0,78.0,0.0,5.2,2.0,360.0,1.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0,2021-10-05,/Users/rau/Desktop/Asa/NDVI_Stasiun Geofisika Nganjuk (3)/2021-10-05.png,158.65135192871094,195.97579956054688,79.73941802978516,253.0,231.0,36.0,109.67200469970703,40.83109664916992,50.85725784301758,0.2517392933368683,2327.8609228760956,0.6613882984170069,0.7796675978248941,3.784798074289638,5
2021-09-25,20.2,29.4,25.2,78.0,3.5,5.1,2.0,110.0,1.0,NE,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0,2021-09-25,/Users/rau/Desktop/Asa/NDVI_Stasiun Geofisika Nganjuk (3)/2021-09-25.png,112.6203384399414,203.27467346191406,85.08287048339844,119.0,208.0,82.0,43.072105407714844,15.46218490600586,25.91415786743164,0.31692466139793396,5398.564546561111,0.4425333773760538,0.4702659804641854,9.62387913907331,8
2021-09-20,19.6,30.2,25.6,68.0,0.0,5.5,3.0,10.0,2.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0,2021-09-20,/Users/rau/Desktop/Asa/NDVI_Stasiun Geofisika Nganjuk (3)/2021-09-20.png,126.33880615234375,207.5980987548828,76.68572998046875,134.0,212.0,73.0,42.28963851928711,13.606284141540527,25.742494583129883,0.26839521527290344,5560.38530689013,0.453206525576196,0.47405235530987294,9.470164491370847,4
2021-09-10,19.0,32.2,26.2,64.0,0.0,8.4,2.0,40.0,2.0,NE,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0,2021-09-10,/Users/rau/Desktop/Asa/NDVI_Stasiun Geofisika Nganjuk (3)/2021-09-10.png,125.24840545654297,207.15103149414062,77.3300552368164,134.0,212.0,73.0,43.5776252746582,14.019362449645996,26.528703689575195,0.2730518579483032,5609.93014154575,0.447855012103301,0.4689661981649732,9.610090387551658,4
2021-08-31,20.4,30.8,25.4,71.0,0.0,8.5,2.0,70.0,2.0,NE,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0,2021-08-31,/Users/rau/Desktop/Asa/NDVI_Stasiun Geofisika Nganjuk (3)/2021-08-31.png,129.1344451904297,208.40814208984375,74.96640014648438,139.0,213.0,70.0,41.92290115356445,13.26938533782959,25.562808990478516,0.2589210271835327,5627.062413257534,0.4549324670676076,0.47311396543324585,9.428494490986523,7
2021-08-26,19.4,30.2,24.6,59.0,0.0,10.0,2.0,360.0,1.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0,2021-08-26,/Users/rau/Desktop/Asa/NDVI_Stasiun Geofisika Nganjuk (3)/2021-08-26.png,129.67233276367188,208.86219787597656,74.69417572021484,139.0,213.0,70.0,39.44752502441406,12.362138748168945,24.029428482055664,0.25514116883277893,5534.461816819483,0.4551155976213872,0.4772654749931384,9.227751229616443,7
2021-08-11,19.8,30.2,25.3,60.0,0.0,8.6,3.0,360.0,2.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0,2021-08-11,/Users/rau/Desktop/Asa/NDVI_Stasiun Geofisika Nganjuk (3)/2021-08-11.png,147.1298370361328,212.64901733398438,63.759586334228516,159.0,217.0,56.0,44.011634826660156,12.579726219177246,27.034887313842773,0.20498111844062805,6432.53227668068,0.4661647562187401,0.4777321949647161,9.288361962658843,7
2021-08-06,20.2,29.2,24.2,69.0,0.0,10.5,3.0,90.0,2.0,E ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0,2021-08-06,/Users/rau/Desktop/Asa/NDVI_Stasiun Geofisika Nganjuk (3)/2021-08-06.png,123.85688018798828,208.05125427246094,78.51972961425781,134.0,212.0,73.0,32.21181869506836,10.5394287109375,19.378854751586914,0.26885542273521423,5188.604550906987,0.44910255294275275,0.4867444339006657,8.699181157010948,7
2021-08-01,19.2,29.2,23.9,80.0,0.0,5.1,3.0,350.0,2.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0,2021-08-01,/Users/rau/Desktop/Asa/NDVI_Stasiun Geofisika Nganjuk (3)/2021-08-01.png,108.3670883178711,177.90737915039062,102.84707641601562,32.0,152.0,138.0,105.37464141845703,39.12165069580078,48.76640701293945,0.40985459089279175,3199.4131158961927,0.6134649049478016,0.6865049299392233,5.221003995226179,3
2021-07-27,18.8,29.0,23.4,55.0,0.0,10.4,3.0,90.0,2.0,E ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0,2021-07-27,/Users/rau/Desktop/Asa/NDVI_Stasiun Geofisika Nganjuk (3)/2021-07-27.png,158.74105834960938,214.9419403076172,56.788665771484375,173.0,220.0,48.0,46.02068328857422,12.478453636169434,28.03036880493164,0.17333240807056427,6804.991249155242,0.4643005059673103,0.4765402419626318,9.312268832149101,7
2021-07-17,19.2,28.8,24.0,73.0,0.0,3.0,2.0,360.0,1.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0,2021-07-17,/Users/rau/Desktop/Asa/NDVI_Stasiun Geofisika Nganjuk (3)/2021-07-17.png,42.917171478271484,175.45494079589844,125.7822494506836,41.0,175.0,127.0,8.313657760620117,5.9405436515808105,4.900243759155273,0.6099432110786438,2790.208310067351,0.6544335089585243,0.5515403058858632,7.070258889831683,2
2021-07-12,17.8,28.5,23.6,70.0,0.0,9.0,3.0,170.0,2.0,E ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0,2021-07-12,/Users/rau/Desktop/Asa/NDVI_Stasiun Geofisika Nganjuk (3)/2021-07-12.png,131.8213653564453,210.16746520996094,73.58827209472656,141.0,214.0,68.0,31.78407859802246,9.867423057556152,19.266904830932617,0.2428426742553711,5221.734373361656,0.46194056346610485,0.49837088199265284,8.48157199562381,7
2021-07-07,18.7,29.0,23.8,74.0,0.0,8.0,2.0,20.0,2.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0,2021-07-07,/Users/rau/Desktop/Asa/NDVI_Stasiun Geofisika Nganjuk (3)/2021-07-07.png,116.85494995117188,206.9136962890625,83.07027435302734,121.0,209.0,81.0,24.078636169433594,7.76840877532959,14.351163864135742,0.2868776321411133,4799.304793251746,0.45066095718585436,0.5112023089129354,8.075049315233617,7
2021-07-02,19.4,29.0,23.4,70.0,0.0,9.0,2.0,130.0,2.0,SE,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0,2021-07-02,/Users/rau/Desktop/Asa/NDVI_Stasiun Geofisika Nganjuk (3)/2021-07-02.png,120.42534637451172,202.23471069335938,80.31714630126953,136.0,213.0,71.0,55.31848907470703,22.338224411010742,34.12797927856445,0.30246472358703613,5578.943198138374,0.4886612192456059,0.4949521988618007,9.433216535776985,8
2021-06-27,20.6,28.4,24.6,82.0,0.0,7.2,2.0,120.0,1.0,E ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0,2021-06-27,/Users/rau/Desktop/Asa/NDVI_Stasiun Geofisika Nganjuk (3)/2021-06-27.png,93.77989196777344,178.20318603515625,107.5329818725586,32.0,164.0,133.0,94.88340759277344,34.274192810058594,43.294334411621094,0.4511847496032715,3552.373747519592,0.5963336530168631,0.6489127885093419,6.730814870907365,3
2021-06-22,20.2,27.6,23.5,89.0,0.0,3.9,2.0,320.0,1.0,NW,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0,2021-06-22,/Users/rau/Desktop/Asa/NDVI_Stasiun Geofisika Nganjuk (3)/2021-06-22.png,120.92311096191406,205.74864196777344,79.99882507324219,131.0,211.0,75.0,42.885154724121094,15.112081527709961,25.957605361938477,0.2879040837287903,5297.913230580281,0.46182432784853245,0.49105087298036787,9.145194695172016,8
2021-06-07,20.8,28.4,24.8,79.0,0.0,5.8,3.0,360.0,1.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0,2021-06-07,/Users/rau/Desktop/Asa/NDVI_Stasiun Geofisika Nganjuk (3)/2021-06-07.png,100.49820709228516,196.36192321777344,92.71282958984375,105.0,204.0,91.0,50.003562927246094,21.91023826599121,30.300888061523438,0.3697967827320099,5095.698504286088,0.47451257930708757,0.48972596374260785,9.612389367554933,8
2021-06-02,20.0,28.4,24.3,85.0,7.0,3.3,3.0,130.0,1.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0,2021-06-02,/Users/rau/Desktop/Asa/NDVI_Stasiun Geofisika Nganjuk (3)/2021-06-02.png,98.08209228515625,198.38270568847656,94.5213851928711,103.0,204.0,92.0,37.843082427978516,16.915029525756836,22.018877029418945,0.3655666410923004,4742.363889737735,0.45628302167532814,0.5005717945055175,9.068077360709658,8
2021-05-18,21.4,28.1,24.4,80.0,0.0,8.1,3.0,360.0,1.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0,2021-05-18,/Users/rau/Desktop/Asa/NDVI_Stasiun Geofisika Nganjuk (3)/2021-05-18.png,50.60219955444336,179.05128479003906,121.77034759521484,48.0,180.0,122.0,15.551958084106445,11.039213180541992,9.33635425567627,0.5683733224868774,2820.46466033401,0.6112023957215078,0.528609233452444,8.160087452744438,2
2021-05-03,20.2,29.2,24.6,81.0,0.0,8.9,2.0,30.0,2.0,SE,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0,2021-05-03,/Users/rau/Desktop/Asa/NDVI_Stasiun Geofisika Nganjuk (3)/2021-05-03.png,154.36671447753906,214.49249267578125,59.19728469848633,167.0,219.0,51.0,40.71161651611328,11.580952644348145,25.06917953491211,0.18206623196601868,6189.80360812299,0.4950654273477987,0.48969537596042223,8.796955117083314,0
2021-04-23,19.6,28.0,23.4,76.0,0.0,9.8,2.0,20.0,1.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0,2021-04-23,/Users/rau/Desktop/Asa/NDVI_Stasiun Geofisika Nganjuk (3)/2021-04-23.png,162.0538330078125,215.9317169189453,54.45842742919922,178.0,221.0,44.0,42.47924041748047,11.41883373260498,26.12650489807129,0.16190029680728912,6518.2815284736125,0.5046562409241752,0.49419779864803015,8.73613570967684,0
2021-04-18,20.4,27.6,22.6,80.0,0.0,8.7,3.0,180.0,2.0,S ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0,2021-04-18,/Users/rau/Desktop/Asa/NDVI_Stasiun Geofisika Nganjuk (3)/2021-04-18.png,151.8665771484375,213.3704376220703,60.73549270629883,170.0,219.0,50.0,47.37556838989258,13.109204292297363,29.0393009185791,0.19403648376464844,6305.204093238926,0.49564728737526925,0.4893120421862634,9.085116799001707,0
2021-04-08,20.8,27.3,23.4,89.0,18.0,1.5,4.0,270.0,2.0,W ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0,2021-04-08,/Users/rau/Desktop/Asa/NDVI_Stasiun Geofisika Nganjuk (3)/2021-04-08.png,153.13377380371094,213.50735473632812,59.92793273925781,170.0,219.0,50.0,45.81608200073242,14.045929908752441,28.18012237548828,0.1898615062236786,6287.99416978416,0.5074400942853015,0.49422515437576486,8.89485910802209,0
2021-04-03,20.4,29.0,25.3,74.0,0.0,2.3,2.0,330.0,2.0,N ,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0,2021-04-03,/Users/rau/Desktop/Asa/NDVI_Stasiun Geofisika Nganjuk (3)/2021-04-03.png,72.11930084228516,191.8512420654297,109.31626892089844,69.0,191.0,111.0,14.943687438964844,6.276443004608154,8.495738983154297,0.45894479751586914,2613.900461101851,0.6490263104041739,0.5526025853248333,7.2899075041120955,2
2021-03-24,20.4,27.7,24.3,85.0,17.3,5.0,2.0,20.0,1.0,NE,Stasiun Geofisika Nganjuk,-7.73486,111.76682,723.0,2021-03-24,/Users/rau/Desktop/Asa/NDVI_Stasiun Geofisika Nganjuk (3)/2021-03-24.png,93.10889434814453,182.7851104736328,104.2479476928711,41.0,175.0,127.0,84.4637222290039,31.589397430419922,40.75539016723633,0.4401942193508148,4179.092450636019,0.5618979203334984,0.6074846839876897,8.011358839343231,6
